TITLE,LATITUDE,LONGITUDE,Extracted Numbers,Lot_name,Capacity,SECTOR,Cluster_Label,Cluster_ID
Headley School Parking,39.18590997,-86.51465575,0,Headley School Parking,50.0,1,0,10
Lot 100,39.18106219,-86.52754248,100,Lot 100,896.0,1,1,11
Lot 102,39.18453243,-86.526035385,102,Lot 102,1409.0,1,2,12
Lot 103,39.18283817,-86.52458169,103,Lot 103,12.0,1,3,13
Lot 104,39.181370572000006,-86.524765566,104,Lot 104,700.0,1,4,14
Lot 108,39.1787845,-86.52549279,108,Lot 108,53.0,1,5,15
Lot 110,39.179493615,-86.521218875,110,Lot 110,310.0,1,6,16
Lot 111,39.17969243,-86.51877087,111,Lot 111,2.0,1,7,17
Lot 112,39.18133415,-86.52053335,112,Lot 112,123.0,1,8,18
Lot 114,39.18222084,-86.52121027,114,Lot 114,888.0,1,8,18
Lot 115,39.18684303,-86.51960788,115,Lot 115,89.0,1,9,19
Lot 116,39.19062312,-86.522872,116,Lot 116,277.0,1,10,110
Lot 117,39.184651725,-86.52129245750001,117,Lot 117,97.0,1,11,111
Lot 120,39.18155316,-86.51668531,120,Lot 120,146.0,1,12,112
Lot 121,39.18633226,-86.51333709,121,Lot 121,13.0,1,13,113
Lot 122,39.184283795,-86.51206272,122,Lot 122,209.0,1,14,114
Lot 123,39.179551,-86.513989,123,Lot 123,98.0,1,15,115
Lot 125,39.18281264,-86.51314328,125,Lot 125,225.0,1,16,116
Lot 126,39.17770727,-86.50998314,126,Lot 126,71.0,1,17,117
Lot 127,39.175473610000004,-86.51405815666665,127,Lot 127,79.0,1,18,118
Lot 128,39.17796305,-86.50780363,128,Lot 128,183.0,1,19,119
Lot 130,39.1791,-86.5048,130,Lot 130,163.0,1,20,120
Lot 132,39.17656241,-86.50823344,132,Lot 132,50.0,1,21,121
Lot 133,39.176921023333335,-86.51123950333333,133,Lot 133,54.0,1,22,122
Lot 134,39.175960925,-86.509979165,134,Lot 134,57.0,1,23,123
Lot 136,39.175379504999995,-86.509113435,136,Lot 136,73.0,1,23,123
Lot 138,39.17522138,-86.51039077,138,Lot 138,0.0,1,23,123
Lot 140,39.17384091,-86.51056657,140,Lot 140,229.0,1,24,124
Lot 142,39.17298115,-86.51177038,142,Lot 142,15.0,1,25,125
Lot 144,39.17334082,-86.51481171,144,Lot 144,46.0,1,26,126
Lot 146,39.17250911,-86.51494331,146,Lot 146,72.0,1,26,126
Lot 148,39.17208318,-86.51291399,148,Lot 148,495.0,1,27,127
Lot 150,39.17358719,-86.50957171499999,150,Lot 150,10.0,1,24,124
Lot 152,39.17273673,-86.50895433,152,Lot 152,251.0,1,24,124
Lot 153,39.17176491,-86.50891787,153,Lot 153,31.0,1,24,124
Lot 154,39.17496566,-86.50498454,154,Lot 154,19.0,1,28,128
Lot 156,39.17330602,-86.50438934,156,Lot 156,227.0,1,29,129
Lot 158,39.1783,-86.5043,158,Lot 158,146.0,1,20,120
Lot 160,39.1751815,-86.50104766,160,Lot 160,101.0,1,30,130
Lot 162,39.17505492,-86.49960588,162,Lot 162,64.0,1,31,131
Lot 164,39.17381611,-86.50218347,164,Lot 164,158.0,1,32,132
Lot 166,39.172673175,-86.501211905,166,Lot 166,100.0,1,33,133
Lot 168,39.172462185,-86.49903517999999,168,Lot 168,72.0,1,34,134
Lot 169,39.172811945,-86.49936550999999,169,Lot 169,229.0,1,34,134
Lot 170,39.17310785,-86.49629727,170,Lot 170,155.0,1,35,135
Lot 172,39.173919795,-86.49610166,172,Lot 172,167.0,1,35,135
