CLM_CLM_DESCRIPTION,CON_CON_GPS_LATITUDE,CON_CON_GPS_LONGITUDE,Extracted Numbers
IN-Vermont St East,39.776012600,-86.167387000,0
IN-SPEA Dr,40.000000000,-86.000000000,0
IN-Wilson St Garage,\N,\N,0
IN-North St Garage,\N,\N,0
EA-Tom Raper,40.000000000,-85.000000000,0
EA-Whitewater,40.000000000,-85.000000000,0
IN-Natatorium Dock,40.000000000,-86.000000000,0
IN-Vermont St,\N,\N,0
SB-Campus Housing,\N,\N,0
IN-Riley Outpatient Garage,\N,\N,0
IN-Vermont St West,\N,\N,0
BL-PKO Parking Office,\N,\N,0
IN-North Hall Circle,40.000000000,-86.000000000,0
IU-PKO Parking Office,\N,\N,0
IN-Hine and Univ Tower Circle,40.000000000,-86.000000000,0
IN-Barnhill Garage,40.000000000,-86.000000000,0
KO-Kelley Center Parking Lot,\N,\N,0
SB-Elkhart Campus,\N,\N,0
IN-University Outpatient Gar,\N,\N,0
BL-FAO Facilities ,\N,\N,0
IN-Lot 10,40.000000000,-86.000000000,10
IN-Lot 25,40.000000000,-86.000000000,25
IN-Lot 33,40.000000000,-86.000000000,33
IN-Lot 34,39.775323100,-86.179001000,34
IN-Lot 54,39.773820700,-86.179661000,54
IN-Lot 65,\N,\N,65
IN-Lot 66,\N,\N,66
IN-Lot 73,40.000000000,-86.000000000,73
IN-Lot 80,39.772536400,-86.175343000,80
IN-Lot 81,40.000000000,-86.000000000,81
IN-Lot 92,40.000000000,-86.000000000,92
BL-100 White Lot West,39.181909800,-86.526999000,100
BL-102 Purple Lot,39.000000000,-87.000000000,102
IN-Lot 103,40.000000000,-86.000000000,103
BL-103 Mellencamp Pavilion,39.000000000,-87.000000000,103
BL-104 Orange Lot,0.000000000,0.000000000,104
BL-105 Memorial Stadium Concour,\N,\N,105
BL-106 White Lot South,39.000000000,-87.000000000,106
BL-108 Yellow Lot,\N,\N,108
BL-109 Blue Lot West (Section E),39.000000000,-87.000000000,109
BL-109 Blue Lot West-Section D/E,39.179478300,-86.522441000,109
BL-110 Blue Lot East (Section F),\N,\N,110
BL-110 Blue Lot East-Section F,39.178811200,-86.521285000,110
BL-111 Outdoor Pool,39.000000000,-87.000000000,111
BL-112 Assembly Hall North,\N,\N,112
BL-114 Green Lot,39.182057400,-86.521285000,114
BL-115 1209 Matlock Rd,\N,\N,115
BL-116 MESH,\N,\N,116
BL-117 Kaufman & Mohr Fields,0.000000000,0.000000000,117
BL-120 Track & Field,\N,\N,120
BL-123 1469 E 17th-IUPD/Found,\N,\N,123
BL-125 David Baker Avenue,0.000000000,0.000000000,125
BL-125 N Jordan Extension,0.000000000,0.000000000,125
BL-126 1630 E 17th St,\N,\N,126
