date,day_of_week,starthour,endhour,sector,CLM_CLM_DESCRIPTION,violation_count,BL_SalesCode
2022-06-15,Wednesday,7,8,4,BL-404 Von Lee-Kirkwood/Indiana,1,AD
2022-06-15,Wednesday,8,9,4,BL-404 Von Lee-Kirkwood/Indiana,1,AD
2022-06-15,Wednesday,9,10,4,BL-466 Memorial Hall,1,AD
2022-06-15,Wednesday,10,11,4,BL-412 4th & Dunn,2,AD
2022-06-15,Wednesday,10,11,5,BL-506 Teter Circle,1,AD
2022-06-15,Wednesday,10,11,5,BL-560 Wilkie Circles,1,AD
2022-06-15,Wednesday,11,12,2,BL-207 12th St Lot,2,AD
2022-06-15,Wednesday,11,12,2,BL-256 Business/SPEA,3,AD
2022-06-15,Wednesday,11,12,3,BL-354 SPH West - Garrett FH,2,AD
2022-06-15,Wednesday,12,13,2,BL-256 Business/SPEA,3,AD
2022-06-15,Wednesday,12,13,4,BL-404 Von Lee-Kirkwood/Indiana,3,AD
2022-06-15,Wednesday,12,13,5,BL-520 E 7th St,4,AD
2022-06-15,Wednesday,12,13,5,BL-522 316 N Eagleson,1,AD
2022-06-15,Wednesday,13,14,2,BL-222 McNutt East Dr,1,AD
2022-06-15,Wednesday,13,14,3,BL-354 SPH West - Garrett FH,1,AD
2022-06-15,Wednesday,13,14,3,BL-364 Wells Library/GISB,1,AD
2022-06-15,Wednesday,13,14,4,BL-402 6th & Dunn,2,AD
2022-06-15,Wednesday,13,14,5,BL-515 Eigenmann South,1,AD
2022-06-15,Wednesday,14,15,3,BL-364 Wells Library/GISB,4,AD
2022-06-15,Wednesday,14,15,4,BL-412 4th & Dunn,2,AD
2022-06-15,Wednesday,14,15,6,BL-601 IU Rental Property,1,AD
2022-06-15,Wednesday,15,16,5,BL-529 East Parking Garage-Lo,4,AD
2022-06-15,Wednesday,16,17,3,BL-362 Radio & TV Circle,1,AD
2022-06-15,Wednesday,16,17,5,BL-524 300 N Eagleson-North,1,AD
2022-06-15,Wednesday,16,17,6,BL-601 IU Rental Property,1,AD
2022-06-15,Wednesday,17,18,4,BL-484 President Lot,2,AD
2022-06-15,Wednesday,17,18,5,BL-525 300 N Eagleson-South,3,AD
2022-06-15,Wednesday,18,19,1,BL-142 SRSC Dock,1,AD
2022-06-15,Wednesday,19,20,1,BL-142 SRSC Dock,3,AD
2022-06-15,Wednesday,19,20,6,BL-601 IU Rental Property,1,AD
2022-06-16,Thursday,7,8,5,BL-529 East Parking Garage-Lo,1,AD
2022-06-16,Thursday,10,11,6,BL-608 7th Street Traffic Booth,2,AD
2022-06-16,Thursday,11,12,2,BL-256 Business/SPEA,4,AD
2022-06-16,Thursday,11,12,6,BL-608 7th Street Traffic Booth,1,AD
2022-06-16,Thursday,12,13,4,BL-404 Von Lee-Kirkwood/Indiana,1,AD
2022-06-16,Thursday,13,14,3,BL-364 Wells Library/GISB,6,AD
2022-06-16,Thursday,13,14,4,BL-404 Von Lee-Kirkwood/Indiana,6,AD
2022-06-16,Thursday,13,14,4,BL-412 4th & Dunn,2,AD
2022-06-16,Thursday,13,14,6,BL-608 7th Street Traffic Booth,1,AD
2022-06-16,Thursday,14,15,2,BL-228 Sembower Field West,1,AD
2022-06-16,Thursday,14,15,4,BL-404 Von Lee-Kirkwood/Indiana,1,AD
2022-06-16,Thursday,15,16,3,BL-354 SPH West - Garrett FH,4,AD
2022-06-16,Thursday,15,16,3,BL-364 Wells Library/GISB,7,AD
2022-06-16,Thursday,15,16,4,BL-404 Von Lee-Kirkwood/Indiana,2,AD
2022-06-16,Thursday,18,19,4,BL-480 Simon Music Building,1,AD
2022-06-16,Thursday,18,19,4,BL-484 President Lot,1,AD
2022-06-16,Thursday,19,20,1,BL-142 SRSC Dock,1,AD
2022-06-17,Friday,9,10,1,BL-128 Redbud,3,AD
2022-06-17,Friday,10,11,3,BL-364 Wells Library/GISB,3,AD
2022-06-17,Friday,11,12,3,BL-364 Wells Library/GISB,3,AD
2022-06-17,Friday,12,13,3,BL-360 Radio & TV North Dr,1,AD
2022-06-17,Friday,12,13,4,BL-404 Von Lee-Kirkwood/Indiana,4,AD
2022-06-17,Friday,12,13,6,BL-608 7th Street Traffic Booth,1,AD
2022-06-17,Friday,14,15,2,BL-228 Sembower Field West,1,AD
2022-06-17,Friday,14,15,3,BL-364 Wells Library/GISB,1,AD
2022-06-17,Friday,14,15,4,BL-412 4th & Dunn,3,AD
2022-06-17,Friday,14,15,5,BL-552 Forest Circle-South,2,AD
2022-06-17,Friday,15,16,2,BL-256 Business/SPEA,1,AD
2022-06-21,Tuesday,7,8,2,BL-226 13th & Fee Lot,4,AD
2022-06-21,Tuesday,7,8,6,BL-603 Sidewalk,1,AD
2022-06-21,Tuesday,8,9,2,BL-216 Briscoe West,4,AD
2022-06-21,Tuesday,8,9,2,BL-226 13th & Fee Lot,1,AD
2022-06-21,Tuesday,8,9,4,BL-412 4th & Dunn,1,AD
2022-06-21,Tuesday,8,9,4,BL-454 IMU S 700-1000 E Kirkwood,1,AD
2022-06-21,Tuesday,9,10,2,BL-231 Foster East,6,AD
2022-06-21,Tuesday,9,10,3,BL-354 SPH West - Garrett FH,1,AD
2022-06-21,Tuesday,9,10,4,BL-480 Simon Music Building,2,AD
2022-06-21,Tuesday,9,10,5,BL-560 Wilkie Circles,1,AD
2022-06-21,Tuesday,10,11,4,BL-404 Von Lee-Kirkwood/Indiana,1,AD
2022-06-21,Tuesday,10,11,5,BL-508 Sunrise Ave,1,AD
2022-06-21,Tuesday,10,11,5,BL-528 East Parking Garage-Up,1,AD
2022-06-21,Tuesday,11,12,4,BL-480 Simon Music Building,1,AD
2022-06-21,Tuesday,11,12,5,BL-528 East Parking Garage-Up,2,AD
2022-06-21,Tuesday,11,12,5,BL-529 East Parking Garage-Lo,5,AD
2022-06-21,Tuesday,12,13,4,BL-412 4th & Dunn,1,AD
2022-06-21,Tuesday,13,14,2,BL-226 13th & Fee Lot,1,AD
2022-06-21,Tuesday,13,14,5,BL-562 Wilkie,6,AD
2022-06-21,Tuesday,14,15,5,BL-554 Forest East,6,AD
2022-06-21,Tuesday,15,16,4,BL-478 Music Circle & Drives,1,AD
2022-06-21,Tuesday,15,16,5,BL-550 Forest West,1,AD
2022-06-21,Tuesday,16,17,3,BL-364 Wells Library/GISB,4,AD
2022-06-21,Tuesday,16,17,5,BL-532 Read North Circle,1,AD
2022-06-21,Tuesday,17,18,4,BL-484 President Lot,2,AD
2022-06-21,Tuesday,17,18,5,BL-540 Jones Ave,3,AD
2022-06-21,Tuesday,18,19,1,BL-142 SRSC Dock,1,AD
2022-06-21,Tuesday,18,19,5,BL-540 Jones Ave,3,AD
2022-06-21,Tuesday,19,20,1,BL-142 SRSC Dock,1,AD
2022-06-22,Wednesday,8,9,4,BL-400 Poplars Garage,1,AD
2022-06-22,Wednesday,8,9,4,BL-404 Von Lee-Kirkwood/Indiana,3,AD
2022-06-22,Wednesday,8,9,6,BL-605 In Roadway/Drive,1,AD
2022-06-22,Wednesday,9,10,3,BL-366 Auditorium,2,AD
2022-06-22,Wednesday,9,10,5,BL-529 East Parking Garage-Lo,4,AD
2022-06-22,Wednesday,10,11,3,BL-354 SPH West - Garrett FH,1,AD
2022-06-22,Wednesday,10,11,5,BL-514 Eigenmann East,1,AD
2022-06-22,Wednesday,10,11,5,BL-515 Eigenmann South,3,AD
2022-06-22,Wednesday,10,11,6,BL-608 7th Street Traffic Booth,1,AD
2022-06-22,Wednesday,11,12,3,BL-364 Wells Library/GISB,1,AD
2022-06-22,Wednesday,11,12,4,BL-404 Von Lee-Kirkwood/Indiana,1,AD
2022-06-22,Wednesday,11,12,5,BL-562 Wilkie,1,AD
2022-06-22,Wednesday,13,14,4,BL-412 4th & Dunn,1,AD
2022-06-22,Wednesday,13,14,5,BL-554 Forest East,4,AD
2022-06-22,Wednesday,14,15,2,BL-249 901 E 10th S/Inform,2,AD
2022-06-22,Wednesday,15,16,4,BL-404 Von Lee-Kirkwood/Indiana,2,AD
2022-06-22,Wednesday,16,17,5,BL-524 300 N Eagleson-North,2,AD
